Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,Normal Fibroblast,1.000076535919176,0.19879016268315575,LAR
,B7-H3,0.9998629850094903,0.08730259187081174,LAR
,pro B-cells,0.9999916301072552,0.011486715876623548,LAR
,NTRK1,0.9999963746969643,0.49335491682212307,LAR
,ICOS,0.9999734127824098,0.0954504090031436,LAR
,CAF,0.9999021634477477,0.35002032417050877,LAR
,DC,0.9999965307733448,0.16096756954025182,LAR
,PTEN,22.80287660167566,0.0414482413847767,LAR
,Hypoxia,1.0000611737884029,0.42574649187591795,LAR
,Estrogen response late,2522.736585856138,0.00018534286724947028,LAR
,Monocytes,1.0000000701910934,0.12102078780530208,LAR
,Protein secretion,79.38825397800169,0.00021027611885151407,LAR
,IDO1,0.9999226520467033,0.16577897483639847,LAR
,TLR7,13693.832170444954,0.6102234838866081,LAR
,PIK3CG,0.9999994271701462,0.28344686641071637,LAR
,IL2RA,0.9999759888424865,0.01892553116307404,LAR
,EMSY,0.9999775324697914,0.4900102525346619,LAR
,PLK4,0.999973228882529,0.007445975372901992,LAR
,CTLA4,0.9999809715531601,0.05871256799506402,LAR
,aDC,0.9999208403040614,0.27635758211473005,LAR
,TAM,0.999721243025111,0.06775689412295795,LAR
,TGF beta signaling,1.0000853691298317,0.23427163936763684,LAR
,MLH3,0.9999870972828261,0.42574649187591795,LAR
,MSC,158.4514809501695,0.004729694194018952,LAR
,Neutrophils,0.9999967008356165,0.14569023942502649,LAR
,Cholesterol homeostasis,1.0002058388153363,0.0030470815689242875,LAR
,Unfolded protein response,1.0001792721259037,0.003869502773618266,LAR
,IL2 STAT5 signaling,1.0000737893106753,0.2787071199890089,LAR
,IFNGR1,1.0002640060079622,0.03548874776587864,LAR
,Tgd cells,1.0000001282281126,0.6102234838866081,LAR
,B-cells,0.999991950554362,0.044732816293313306,LAR
,CHEK2,1.1156493085898024e-09,2.861284535089322e-05,LAR
,PMS2,0.9999914488405208,0.06937032386192647,LAR
,CDKN2A,0.9989819543302979,0.000248442339747259,LAR
,CD4+ T-cells,0.9999999384574162,0.14865338444028092,LAR
,MYC,2.334611030907078e-05,1.0965986220000448e-07,LAR
,FLT1,1.00000750856215,0.8901941810994883,LAR
,DCIR,0.9999578863611853,0.033672068856345834,LAR
,VEGFB,0.9998925724207463,0.807031511181052,LAR
,Adipogenesis,2909.5090510971186,4.958156344989345e-06,LAR
,CD96,0.9999844211724925,0.08535587874113781,LAR
,Plasma cells,1.6886141323496148e+42,0.0003053000645891117,LAR
,CXCL12,0.9999807750097576,0.18434809692120802,LAR
,ABRAXAS1,374090.9840020092,0.10419614680529148,LAR
,KDR,1.0000040801556276,0.6479190043416236,LAR
,CD8+ naive T-cells,0.9999893860416627,0.11724727774302843,LAR
,DNMT3A,0.9997138975924497,0.000193327515589084,LAR
,RAD51D,1.5422217584786082e-12,3.780259055053352e-05,LAR
,Stroma1,0.9999461059828072,0.12102078780530208,LAR
,CDKN2C,0.9999049311836327,0.0024726603575886815,LAR
,TRDMT1,0.9999659509285751,0.0013906467800494106,LAR
,Reactive oxygen species pathway,228.19892679637599,0.0002930348787852846,LAR
,CD39,0.9999530658938286,0.17403720683892354,LAR
,NTRK2,0.999804486818398,3.609761582169869e-05,LAR
,PDGFRA,0.9999381872547516,0.06775689412295795,LAR
,PD-L1,0.9999845832905497,0.08250175919889659,LAR
,IFNγ-iCAF,0.9998221338815004,0.09974684555390091,LAR
,TNFA signaling via NF-kB,0.9999604668049961,0.444490880398031,LAR
,Glycolysis,1.0001959745314404,0.0009573002810922571,LAR
,BRIP1,0.999952543640325,0.10195217751241707,LAR
,TIM3,0.9999412070833128,0.011486715876623548,LAR
,TLS Meylan,1.0000043652979878,0.09335845912555737,LAR
,CD40L,0.9999932597019179,0.2025265856559486,LAR
,Adipocytes,1.0000100699991235,0.051963147019262745,LAR
,Basophils,0.9999718821328809,0.7286628135577669,BL
,Heme metabolism,1.0000487820755692,0.4712204870321759,BL
,Immune1,1.000120073530803,0.016152075692838688,BL
,WNT beta catenin signaling,1.0000021802540227,0.9483281473771538,BL
,Th1 cells,1.0000200870321778,0.13408871547996828,BL
,Estrogen response early,0.9998608214819519,0.15504697588694338,BL
,IFNAR2,1.0000805258066245,0.2298193125711343,BL
,PIK3CA,39.81751843578095,0.0841856429671644,BL
,B7-H4,1.6071171417718682,0.0814824696341285,BL
,VEGFA,0.9997539688023127,0.4618869798525833,BL
,Stroma2,0.9999491178027475,0.4526575983451745,BL
,Trop-2,1.6136055509949034,0.07379308630778839,BL
,CCR4,0.9999987756679567,0.6121444622005235,BL
,detox-iCAF,0.17460079567862455,0.02025481260854922,BL
,CDK12,55.61816736324535,0.014542247732096085,BL
,GMP,0.9999994364667786,0.816118153803556,BL
,TGFβ-myCAF,0.1902679361331174,0.01007643554034146,BL
,Fibroblasts,0.9999899009066063,0.6973957020228172,BL
,CD73,1.0000463635592136,0.12824872573606272,BL
,E2F targets,13.185833709770163,0.0001534269399525238,BL
,HDAC1,11.581282738669586,0.003904316124274801,BL
,Myocytes,0.9999988271005821,0.6014870012912893,BL
,Endothelial cells,12524.898511562269,0.6391458702402872,BL
,Th2 cells,87.08862804091777,0.02025481260854922,BL
,BARD1,20.007954585783352,0.004299705365849497,BL
,TLR2,14.496692206404326,0.025740637850766836,BL
,GITR,0.9999170432872071,0.9574371277941807,BL
,MLH1,1.000011799789093,0.8339269916399912,BL
,Eosinophils,1.0000021306286135,0.33864428151174875,BL
,CD8+ Tem,0.9999987311380316,0.9756705835051107,BL
